model,compressor,refrigerant,ambient,btuh_35,btuh,cond_temp,voltage,required_addon1,required_addon2,required_addon3,required_addon4,notes
M6GM-H057-IAA-272,ASE39C5E,R404,90,,6670,116,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GM-H057-IAA-272,ASE39C5E,R404,100,,6070,125,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GM-H057-IAA-272,ASE39C5E,R404,110,,5370,133,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GM-H057-IAA-272,ASE39C5E,R407C,90,,9180,129,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GM-H057-IAA-272,ASE39C5E,R407C,100,,8150,137,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GM-H057-IAA-272,ASE39C5E,R407C,110,,NO,NO,115,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAV-177,RST45C1E,R448,90,,7120,121,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAV-177,RST45C1E,R448,100,,6500,130,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAV-177,RST45C1E,R448,110,,5840,138,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
M6GP-H064-CAV-177,RST45C1E,R404,90,,6930,117,230,"Low Pressure Control (e.g., P70AB-2C)","Fan Cycling Control (e.g., P70AA-118C)"," Swivel Flare Tee (e.g., A31864)",,
